Tidsstempel,Group A,Group B,Group C,Group D,Group E,Name
26/07/2025 17.02.51,Lanfe4r,hungrybrowny,qjY,Cvaekt,canin,Moggles
31/07/2025 20.22.56,Toneeh/Tony,Catnip,ri,jihapse,canin,Wiolarz
26/07/2025 17.35.08,Lewis,hungrybrowny,ri,Unseelie,Faith,Cvaekt
26/07/2025 17.36.40,Lewis,YaBoiTheJebait,Disturbed Jawker,AA,HyPeR,Karma/My2Karma 
10/08/2025 12.45.18,reload,Phantom,Disturbed Jawker,Aty,Rimuru,Jeri
31/07/2025 20.50.06,reload,Reddydas,mouceen,jihapse,Tilty,Epona
27/07/2025 03.56.08,Lewis,hungrybrowny,Aaz3,jihapse,Rimuru,Dasher
02/08/2025 16.32.01,Lewis,Reddydas,play,Leiya,Muko,Catnip
27/07/2025 18.26.59,reload,Phantom,ri,calli,Hynips,Drregron
03/08/2025 18.08.58,Lewis,hungrybrowny,Aaz3,Jeri,Epona,Owl
09/08/2025 23.16.25,reload,Lightning,ri,Unseelie,Rimuru,Sparto
03/08/2025 17.33.47,Ragicarpe,Phantom,ri,Leiya,Tefrick,canin
03/08/2025 18.32.25,reload,hungrybrowny,ri,jihapse,canin,Click
27/07/2025 18.40.08,Karma/My2Karma,hungrybrowny,mouceen,Nappa,Epona,Ernie 
27/07/2025 18.51.58,Potentiallyyouruncle,Catnip,Aaz3,Dasher,Faith,hammurabi
02/08/2025 16.40.56,Toneeh/Tony,Catnip,prime skiter,AA,Muko,Bert
02/08/2025 09.38.28,Lewis,Luke,Aaz3,pk,Rimuru,Dasher
10/08/2025 10.39.37,talmadage,hungrybrowny,play,jihapse,Drregron,Ernie
09/08/2025 23.49.17,Potentiallyyouruncle,FTG,prime skiter,Dasher,noah,hammurabi
